Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,2,Big Data Applications in Guangzhou Restaurants Analysis,"Chang, Victor; Ji, Ziyang; Xu, Qianwen Ariel",Mary Ann Leibert,2021
,3,Toward Business Process Innovation in the Big Data Era: A Mediating Role of Big Data Knowledge Management,"Saide, Saide; Sheng, Margaret L.",Mary Ann Leibert,2020
,4,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,5,"On the Unstructured Big Data Analytical Methods in Firms: Conceptual Model, Measurement, and Perception","Tarka, Piotr; Jędrych, Elżbieta",Mary Ann Leibert,2020
,6,Big Data in Business: A Bibliometric Analysis of Relevant Literature,"Nobanee, Haitham",Mary Ann Leibert,2020
,7,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,8,Big Data for the Social Good: The Drought Early-Warning Experience Report,"Tamburri, Damian A.",unknown,2022
,9,Overcoming Resistance to Big Data and Operational Changes Through Interactive Data Visualization,"Phillips-Wren, Gloria; McKniff, Sueanne",Mary Ann Leibert,2020
,10,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,"Saeed, Fahad",Springer Nature,2018
,11,Exploiting Reused-Based Sharing Work Opportunities in Big Data Multiquery Optimization with Flink,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2021
,12,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,13,"Big data analysis of swimming pools' impact on household electric intensity in San Antonio, Texas","Elnakat, Afamia; Gomez, Juan D.; Roberts, Jason; Wright, Martha",Inderscience,2015
,14,Agricultural Disaster Risk Management and Capability Assessment Using Big Data Analytics,"Wang, Caili; Gao, Yuwen; Aziz, Asad; Ogunmola, Gabriel A.",Mary Ann Leibert,2022
,15,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,16,Vehicle Intelligent Classification Based on Big Multimodal Data Analysis and Sparrow Search Optimization,"Shao, Caixing",Mary Ann Leibert,2022
